date,symbol,news,impact_score
2019-05-08,A,"Catalyst Capital Advisors LLC Buys Aflac Inc, Agilent Technologies Inc, Cree Inc, Sells Amgen ... Factors Likely to Decide JD.com's (JD) Fate in Q1 Earnings Itron (ITRI) Earnings and Revenues Surpass Estimates in Q1",0.0
2019-05-09,A,"MACOM (MTSI) Q2 Loss Wider Than Expected, Revenues Fall Y/Y Advanced Energy (AEIS) Q1 Earnings Beat, Revenues Down Y/Y",1.0
2019-05-10,A,Mettler-Toledo (MTD) Earnings & Revenues Top Estimates in Q1 Can New Offerings & Buyouts Aid Cisco's (CSCO) Q3 Earnings? Alibaba (BABA) Gears Up for Q4 Earnings: What's in Store?,0.0
2019-05-13,A,Agilent Q2 2019 Earnings Preview Notable earnings after Tuesday's close Tracking William Von Mueffling's Cantillon Capital Management Portfolio - Q1 2019 Update,-2.0
2019-05-14,A,"Agilent Technologies, Inc. (A) CEO Mike McMullen on Q2 2019 Results - Earnings Call Transcript A, ACB, EGHT and TLRY among notable after hour movers Agilent Technologies (A) Q2 Earnings and Revenues Miss Estimates Agilent down 8% after hours on FQ2 miss, revenue guidance cut Agilent misses by $0.01, misses on revenue What To Expect From Agilent's Earnings",2.0
2019-05-15,A,"Stocks To Watch: Agilent Technologies Sees Relative Strength Rating Jump To 84 ACB and A among premarket losers Agilent Technologies, Inc. 2019 Q2 - Results - Earnings Call Slides",-3.0
2019-05-17,A,Bullish Quintet,0.0
2019-05-21,A,"Bessemer Securities Llc Buys Facebook Inc, Texas Instruments Inc, Bank of America Corporation, ...",-3.0
2019-05-22,A,Agilent declares $0.164 dividend,0.0
2019-05-24,A,Tense About Trade War? Follow Goldman With 5 ETF Strategies,2.0
2019-06-11,A,"FDA OKs Agilent companion diagnostic for Keytruda in HNSCC Barclays bearish on Teva, sees 14% downside risk in premarket analyst action",0.0
2019-06-13,A,Why Is Agilent (A) Up 3.9% Since Last Earnings Report?,0.0
2019-06-14,A,Agilent Announces Receipt of FDA Approval for pharmDX Assay,0.0
2019-06-21,A,John Templeton's Investment Philosophy,0.0
2019-06-28,A,"29 Firms Going Ex-Dividend Next Week, Including Comcast, Cisco And JP Morgan Agilent: An Excellent Company At Average Price",2.0
2019-07-05,A,Stock Upgrades: Agilent Technologies Shows Rising Relative Strength,-2.0
2019-07-10,A,"Lgt Capital Partners Ltd. Buys UnitedHealth Group Inc, Alphabet Inc, Ross Stores Inc, Sells ...",0.0
2019-07-11,A,Silicon Valley Pioneer Keysight Just Moved Into The Buy Zone — But Can It Stay There? Agilent to acquire BioTek for $1.165B,-2.0
2019-07-12,A,"Agilent to Acquire BioTek, Cell Analysis Portfolio to Expand",-1.0
2019-07-15,A,Agilent: Some Bolt-On M&A To Rejuvenate Growth Wells sees 33% upside in Gilead in premarket analyst action,-2.0
2019-07-16,A,"Harvey Investment Co Llc Buys Fastenal Co, Agilent Technologies Inc, CarMax Inc, Sells Croda ... Oppenheimer likes Millendo Therapeutics in premarket analyst action",0.0
2019-07-24,A,Agilent: 2 Decades Of Portfolio Moves Left Investors With A Good Business,-1.0
2019-07-29,A,Tracking William von Mueffling's Cantillon Capital Management Portfolio - Q2 2019 Update,2.0
2019-07-30,A,"The Truth About Market Timing - July 30, 2019",0.0
2019-08-01,A,Acquisition Boosts Exact Sciences' Role in Cancer Diagnostics,1.0
2019-08-07,A,Agilent Technologies (A) Earnings Expected to Grow: Should You Buy?,0.0
2019-08-09,A,Agilent Technologies Hitting Lower Rail Of Upwardly Sloped Trend Channel Ahead Of Earnings,0.0
2019-08-12,A,Agilent (A) Gears Up for Q3 Earnings: What's in the Cards?,-2.0
2019-08-13,A,"Impax Asset Management Group plc Buys Pentair PLC, Agilent Technologies Inc, IQVIA Holdings ... Agilent Q3 2019 Earnings Preview Notable earnings after Wednesday's close",0.0
2019-08-14,A,"Agilent Technologies, Inc. (A) CEO Michael McMullen on Q3 2019 Results - Earnings Call Transcript A, CSCO, NTAP and WPG among after hour movers Agilent Technologies (A) Tops Q3 Earnings and Revenue Estimates Agilent up 5% on FQ3 beat, lower end of guidance raise Agilent EPS beats by $0.04, beats on revenue The Dow Jones Industrial Average Will Lose 400 Points On Today's Inverted Yield Curve Wall Street Tumbles Following Yield Curve Inversion Stock Futures Plunge as Recession Fears Intensify",0.0
2019-08-15,A,Agilent (A) Earnings and Revenues Beat Estimates in Q3,3.0
2019-08-16,A,"BlueSpruce Investments, LP Buys Ross Stores Inc, TJX Inc, Comcast Corp, Sells Constellation ...",2.0
2019-08-20,A,"Fairpointe Capital LLC Buys Agilent Technologies Inc, Magna International Inc, iShares MSCI ... Beaconlight Capital, Llc Buys Fortune Brands Home & Security Inc, Hasbro Inc, KAR Auction ... Stock Upgrades: Agilent Technologies Shows Rising Relative Strength",0.0
2019-08-21,A,"Sit Investment Associates Inc Buys United Technologies Corp, Corning Inc, Comcast Corp, Sells ...",2.0
2019-08-22,A,IBD Stock Of The Day Keysight Technologies Hits Buy Zone As Wall Street Cheers 5G-Driven Growth,-2.0
2019-08-26,A,Agilent completes BioTek buy,-2.0
2019-09-03,A,Agilent readies debt offering,0.0
2019-09-05,A,Agilent launches debt offering,3.0
2019-09-10,A,Agilent Technologies (A) is a Great Momentum Stock: Should You Buy? Agilent Prices Public Offering of $500M Senior Notes Due 2029 Trimble Strengthens Forestry Division With 3LOG Acquisition Agilent Technologies: Buy For Great Growth In The Pharmaceutical Development Business,1.0
2019-09-12,A,"Agilent Technologies Sees RS Rating Climb To 74 Stocks For You To Swing-Trade: TTWO, A, ROP",0.0
2019-09-13,A,Agilent (A) Up 11.5% Since Last Earnings Report: Can It Continue?,0.0
2019-09-16,A,What Makes Agilent (A) a New Buy Stock,-1.0
2019-09-17,A,"Simple Market Timing Strategies That Work - September 17, 2019",-2.0
2019-09-18,A,Agilent declares $0.164 dividend,2.0
2019-09-19,A,Stocks With Rising Relative Strength: Agilent Technologies,1.0
2019-09-20,A,4 Stocks to Focus on Global Biotechnology Reagents Market,0.0
2019-09-27,A,"50 Firms Going Ex-Dividend Next Week, Including Cardinal Health, JP Morgan Chase And Comcast",0.0
2019-10-07,A,"Lgt Capital Partners Ltd. Buys UnitedHealth Group Inc, Alphabet Inc, Agilent Technologies Inc, ... Bruker To Buy Freiberg Instruments' Magnettech EPR Business",0.0
2019-10-10,A,"Trimble Strengthens Agriculture Portfolio with Weedseeker 2 How to Time the Markets Like an Investing Pro - October 10, 2019",0.0
2019-10-11,A,Cypress Looks to Gain Traction With New USB-C Controller,1.0
2019-10-14,A,Dividend Growth Stocks Of Tomorrow: Agilent Technologies Inc. Stocks With Rising Relative Strength: Agilent Technologies,0.0
2019-10-16,A,"Parnassus Endeavor Fund Buys Alaska Air Group Inc, Arista Networks Inc, Charles Schwab Corp, ...",0.0
2019-10-17,A,Parnassus Endeavor Fund Buys 4 Stocks in 'rd Quarter,-1.0
2019-10-21,A,Oakmark Equity And Income Fund: Third Quarter 2019,0.0
2019-10-22,A,"5G Wireless Networks Give This Communications Test Gear Maker A Lift Private Bank & Trust Co Buys Agilent Technologies Inc, Alibaba Group Holding, Icon PLC, ...",-1.0
2019-10-23,A,"Clean Yield Group Buys Healthcare Trust of America Inc, Lakeland Financial Corp, U.S. ... KraneShares Joins with Nasdaq Dorsey Wright to Launch KraneShares China Rotation Model",0.0
2019-10-24,A,Electronics Testing Equipment Outlook: Solid Demand Ahead,0.0
2019-11-01,A,"When Does Market Timing Actually Work? - November 01, 2019",1.0
2019-11-07,A,"TD Asset Management Inc Buys TC Energy Corp, iShares iBoxx $ High Yield Corporate Bond ETF, ... TDAM USA Inc. Buys Phillips 66, DuPont de Nemours Inc, Agilent Technologies Inc, Sells Apple ... Tracking William Von Mueffling's Cantillon Capital Management Portfolio - Q3 2019 Update",0.0
2019-11-12,A,"Agilent Technologies Sees RS Rating Improve To 76 Royal London Asset Management Ltd Buys Apple Inc, Amazon. ...",0.0
2019-11-13,A,"Epoch Investment Partners, Inc. Buys KKR Inc, Coca-Cola Co, Huntington Ingalls Industries Inc, ...",0.0
2019-11-14,A,Stocks Showing Rising Market Leadership: Agilent Technologies Earns 82 RS Rating,-1.0
2019-11-15,A,"Fairpointe Capital LLC Buys Adtalem Global Education Inc, Corning Inc, Agilent Technologies ... PerkinElmer: An Excellent Opportunity Stifel likes Illumina in premarket analyst action Market-Beating Sector ETFs Year to Date Tiemann Investment Advisors, Llc Buys SPDR Barclays Convertible Securities ETF, D.R. ...",1.0
2019-11-18,A,Agilent Technologies (A) Earnings Expected to Grow: Should You Buy?,0.0
2019-11-20,A,Agilent declares $0.18 dividend,-1.0
2019-11-21,A,"Agilent Is Up Almost 20% Since Its Last Earnings Report: Assessing If The Momentum Continues Yes, You Can Time the Market. Find out How - November 21, 2019 The Top Large-Cap Sectors, Industries, And Stocks To Buy Now",0.0
2019-11-22,A,Earnings Watch: PANW Stock Rallies Ahead Of Results; Retail Leader Forms Bullish Base Agilent on watch after positive EU drug development,1.0
2019-11-25,A,"Agilent Technologies, Inc. (A) CEO Mike McMullen on Q4 2019 Results - Earnings Call Transcript Dow Jones Futures: Stock Market Fear Gauge Hits New Low; Palo Alto Networks, Nutanix, Ambarella, Hewlett Packard Enterprise, ChemoCentryx Are Big Movers Late Agilent Technologies (A) Surpasses Q4 Earnings and Revenue Estimates Agilent Technologies, Inc. 2019 Q4 - Results - Earnings Call Presentation Agilent EPS beats by $0.03, misses on revenue",1.0
2019-11-26,A,Agilent (A) Earnings and Revenues Surpass Estimates in Q4,1.0
2019-12-04,A,Agilent Technologies Inc (A) Presents at The 31st Annual Piper Jaffray Healthcare Conference (Transcript),0.0
2019-12-05,A,"Agilent Technologies, Inc. (A) Management Presents at Evercore ISI HealthCONx Conference (Transcript)",0.0
2019-12-06,A,Best Large-Cap Stocks To Buy Now,0.0
2019-12-09,A,"Pershing Square Capital Management, L.P. Buys Agilent Technologies Inc, Sells Automatic Data ... Agilent up 4% after hours on Pershing stake",0.0
2019-12-10,A,Bill Ackman's Pershing Square Packs Into Agilent Wall Street Breakfast: Trade Deadline And Fed Meeting,2.0
2019-12-12,A,"Nomura Holdings Inc Buys Aramark, AT&T Inc, Emerson Electric Co, Sells Amazon. ...",1.0
2019-12-13,A,"Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $4 million of Shares Live Nation Entertainment, Zebra Technologies, STERIS Set to Join S&P 5……; Others to ...",-2.0
2019-12-17,A,"The Market Timing Secrets No One Talks About - December 17, 2019",-1.0
